景区名称,级别,地区,热度,简介,价格,月销量,城市,图片
红螺寺,4A景区,[北京·北京·怀柔区],0.7,祈福胜地，也是赏秋好地方,54,260,北京,https://imgs.qunarzz.com/sight/p0/1508/54/da591101321c62dd5907d73611518434.water.jpg_280x200_ca6f69a2.jpg
周口店遗址博物馆,4A景区,[北京·北京·周口店北京猿人遗址公园],0.0,北京人的发源地,25,68,北京,https://imgs.qunarzz.com/sight/p0/1412/17/7dc3f1bdc93aa4a224bf414bab04703b.water.jpg_280x200_02512b67.jpg
南山滑雪场,无,[北京·北京·密云县],0.7,建有波浪练习道,190,2306,北京,https://imgs.qunarzz.com/sight/p0/1511/d2/d2aec2dfc5aa771290.water.jpg_280x200_de02a984.jpg
香山公园,4A景区,[北京·北京·海淀区],0.72,体味山野情趣天然氧吧,5,244,北京,https://imgs.qunarzz.com/sight/p0/2005/ad/adc09bb2c41b9f71a3.water.jpg_280x200_7995dbae.jpg
天安门广场,无,[北京·北京·东城区],1.0,祖国的象征与心脏,0.1,2375,北京,https://imgs.qunarzz.com/sight/p0/1501/f4/f467729126949c3a.water.jpg_280x200_ced5ba0c.jpg
世界花卉大观园,4A景区,[北京·北京·丰台区],0.7,观赏世界各地的花卉植物,50,362,北京,https://imgs.qunarzz.com/sight/p0/1604/1e/1e75f8e1af9fe81f90.img.jpg_280x200_eec7da30.jpg
龙庆峡,4A景区,[北京·北京·延庆县],0.7,京郊避暑，戏水，秀美山色,70,456,北京,https://imgs.qunarzz.com/sight/p0/1707/99/99c1b7c3366c97aba3.img.jpg_280x200_3a8265de.jpg
云居寺,4A景区,[北京·北京·房山区],0.7,展现了中国佛教文化特色,38,88,北京,https://imgs.qunarzz.com/sight/p0/1603/8a/8a6104857e18ce590.water.jpg_280x200_220712c7.jpg
孔庙和国子监博物馆,4A景区,[北京·北京·东城区],0.0,元明清三朝学子们的圣地,0.1,30,北京,https://imgs.qunarzz.com/sight/p0/1512/9d/9db9cb6d63fb257e90.water.jpg_280x200_4d21e811.jpg
温都水城滑雪场,无,[北京·北京·温都水城],0.0,北京罕见的大型屋顶滑雪场,79.9,65,北京,https://imgs.qunarzz.com/sight/p0/1512/c2/c247fb1ea423430c90.water.jpg_280x200_b0c6d6ec.jpg
南宫旅游景区,4A景区,[北京·北京·丰台区],0.7,含温泉水世界博览园的景区,20,54,北京,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01006120008jq7vn52838.jpg_280x200_2264dd8a.jpg
北京渔阳国际滑雪场,4A景区,[北京·北京·平谷区],0.7,设有儿童游乐 天地,245,546,北京,https://imgs.qunarzz.com/sight/p0/2112/c5/c587378a957dfc74a3.img.jpg_280x200_b96ef701.jpg
北京园博园,4A景区,[北京·北京·丰台区],0.0,汇集国内外各类园林,2.8,6,北京,https://imgs.qunarzz.com/sight/p0/1803/9d/9d862d8166170089a3.img.jpg_280x200_fc85641b.jpg
居庸关长城,4A景区,[北京·北京·昌平区],0.72,仰望天下第一雄关匾额,35,242,北京,https://imgs.qunarzz.com/sight/p0/201403/07/a8b6e52a35945520030dc6628984fb5d.jpg_280x200_4184f58e.jpg
中央电视塔,4A景区,[北京·北京·海淀区],0.72,登上塔顶俯瞰北京美景,83.8,242,北京,https://imgs.qunarzz.com/sight/p0/1602/f9/f9095e245afd18fb90.water.jpg_280x200_c35b9604.jpg
司马台长城,4A景区,[北京·北京·密云县],0.76,保留了明长城原貌的古长城,40,298,北京,https://imgs.qunarzz.com/sight/p0/1603/69/696406b990ae8cee90.water.jpg_280x200_fc84ecdd.jpg
大运河森林公园,4A景区,[北京·北京·通州区],0.0,适合露营、野餐、骑行,89,74,北京,https://imgs.qunarzz.com/sight/p0/201403/10/b4b989416d3aea9eba8741d174b4f565.jpg_280x200_3e4b5602.jpg
玉渊潭公园,4A景区,[北京·北京·海淀区],0.72,北京观赏樱花的市民公园,12.8,6,北京,https://imgs.qunarzz.com/sight/p0/2005/fd/fd003d552d45286a3.water.jpg_280x200_1e7f5d5b.jpg
丫髻山,4A景区,[北京·北京·平谷区],0.7,登山和赏景的理想去处,50,66,北京,https://imgs.qunarzz.com/sight/p0/1707/da/da7c8ed86e503870a3.img.jpg_280x200_0e12ddfe.jpg
雁栖湖旅游区,4A景区,[北京·北京·怀柔区],0.7,湖光山色中赏一轮明月,10,46,北京,https://imgs.qunarzz.com/sight/p0/1908/31/31deddc4a2b00741a3.img.jpg_280x200_68f1c5cc.jpg
国家植物园北园（原北京植物园）,4A景区,[北京·北京·海淀区],0.7,游山踏青观赏花卉植物,12.8,44,北京,https://imgs.qunarzz.com/sight/p0/201403/07/ae56bc4bff8072e61b79f530709f2729.jpg_280x200_1684675e.jpg
八奇洞,4A景区,[北京·北京·门头沟区],0.7,洞内共有28个景点,53.5,18,北京,https://imgs.qunarzz.com/sight/p0/1706/a9/a9bee321189dee83a3.water.jpg_280x200_bf14491a.jpg
《嗨!北京》,无,[北京·北京·西城区],0.0,感受浓郁的北京地域特色,100,93,北京,https://imgs.qunarzz.com/sight/p0/1701/6b/6bfc5c3500c4c3f9a3.img.png_280x200_98b47e54.png
陶然亭公园,4A景区,[北京·北京·宣武区],0.72,以陶然亭为中心的园林公园,10,102,北京,https://imgs.qunarzz.com/sight/p0/1410/32/0d60ac5b674fe8d5d5e80bf72898f501.water.jpg_280x200_5f5621e2.jpg
小汤山现代农业科技示范园,4A景区,[北京·北京·昌平区],0.7,融自然风光与现代农业为一体的观光胜地,10,96,北京,https://imgs.qunarzz.com/sight/p0/201402/12/cc4f029cbbcce747b86eae7a4a9ebc50.jpg_280x200_9d1415f2.jpg
金海湖风景区,4A景区,[北京·北京·平谷区],0.7,有丰富多彩的水上项目,9,82,北京,https://imgs.qunarzz.com/sight/p0/1609/7a/7ae8ee7831836095a3.water.jpg_280x200_23e161e1.jpg
圣安寺遗址,4A景区,[北京·北京·西城区],0.7,气势宏伟的佛教寺庙,20,98,北京,https://imgs.qunarzz.com/sight/p87/201211/07/b37ba8e552ac5a1793835fbb.jpg_280x200_e524c73c.jpg
地坛公园,4A景区,[北京·北京·东城区],0.72,明清皇帝祭祀土地的场所,0.1,108,北京,https://imgs.qunarzz.com/sight/p0/1602/30/30d51ab5bb7ccb9290.water.jpg_280x200_c8ad909f.jpg
中山公园,4A景区,[北京·北京·东城区],0.72,春天赏郁金香秋季看银杏,0.2,60,北京,https://imgs.qunarzz.com/sight/p0/2005/57/5778a70a075a1aa9a3.water.jpg_280x200_418830e1.jpg
北京野鸭湖国家湿地公园,4A景区,[北京·北京·延庆县],0.7,周末踏青好去处,49.5,36,北京,https://imgs.qunarzz.com/sight/p0/2005/53/53b74a645ca49f51a3.water.jpg_280x200_686f894b.jpg
龙潭湖公园,4A景区,[北京·北京·东城区],0.72,市民放松休闲的城市公园,2,18,北京,https://imgs.qunarzz.com/sight/p0/1602/1b/1bd1a2c2af5356c090.water.jpg_280x200_4590554b.jpg
中国人民抗日战争纪念馆,4A景区,[北京·北京·丰台区],0.7,爱国主义教育重要场所,2.5,4,北京,https://imgs.qunarzz.com/sight/p98/201211/08/b787e597640c242893835fbb.jpg_280x200_6cce0f52.jpg
银山塔林,4A景区,[北京·北京·昌平区],0.7,古朴壮观，有雷峰塔的风格,15,18,北京,https://imgs.qunarzz.com/sight/p0/201312/05/1238f744ff8a19c94d3f3578487db19a.jpg_280x200_6015d0f8.jpg
中国紫檀博物馆,4A景区,[北京·北京·朝阳区],0.7,观赏上千件紫檀木明清家具,50,14,北京,https://imgs.qunarzz.com/sight/p0/201403/07/95c4b8f00170be481faee69506d2eb32.jpg_280x200_de0d0955.jpg
北京凤凰岭景区,4A景区,[北京·北京·海淀区],0.7,游山玩水拜访古寺庙,25,48,北京,https://imgs.qunarzz.com/sight/p0/1708/cd/cd3ef13d7a1be5e2a3.img.jpg_280x200_db09501e.jpg
紫竹院公园,4A景区,[北京·北京·海淀区],0.72,竹林茂密夏季还能赏荷花,42,46,北京,https://imgs.qunarzz.com/sight/p0/1410/73/3470e520e075ffd0229c5b4f1b6b2d13.water.jpg_280x200_964596d7.jpg
怀柔青龙峡,4A景区,[北京·北京·怀柔区],0.7,踏青休闲还有蹦极与攀岩,80,4,北京,https://imgs.qunarzz.com/sight/p0/2004/32/32fdf330c05611c2a3.img.png_280x200_ae9faf01.png
戒台寺,4A景区,[北京·北京·门头沟区],0.7,到京西佛寺观古松赏牡丹,45,54,北京,https://imgs.qunarzz.com/sight/p0/1603/36/3678eb08e4c9716590.water.jpg_280x200_b8429b39.jpg
黑龙潭风景区,4A景区,[北京·北京·密云县],0.7,黑龙潭壮美冰瀑名不虚传~,56.5,122,北京,https://imgs.qunarzz.com/sight/p0/1608/13/1303d2401d2b5aada3.water.jpg_280x200_90daac33.jpg
黄花城水长城,4A景区,[北京·北京·怀柔区],0.7,观赏长城戏水的景色,58,18,北京,https://imgs.qunarzz.com/sight/p0/201403/07/98ebbbabc695672ef01a7316521122c4.jpg_280x200_7b28b95e.jpg
京东石林峡,4A景区,[北京·北京·平谷区],0.7,观看陡峭奇幻的地貌风光,45,18,北京,https://imgs.qunarzz.com/sight/p0/1604/78/78873494f26e554090.water.jpg_280x200_2671981e.jpg
乐多港卡乐星球,4A景区,[北京·北京·昌平区],0.0,室内高科技主题乐园,88,48,北京,https://imgs.qunarzz.com/sight/p0/1608/5c/5c30160572493ba9a3.water.jpg_280x200_75acd802.jpg
北京国际鲜花港,4A景区,[北京·北京·顺义区],0.0,观赏不同季节的各色花卉,30,88,北京,https://imgs.qunarzz.com/sight/p0/1909/ba/ba2400045659bc99a3.img.jpg_280x200_769e59fb.jpg
水关长城,4A景区,[北京·北京·延庆县],0.0,十分清净的长城景区,35,32,北京,https://imgs.qunarzz.com/sight/p0/201403/10/7169843dc87c9faff75127e6d5f34461.jpg_280x200_d928335b.jpg
北宫国家森林公园,4A景区,[北京·北京·丰台区],0.7,登上山顶可远眺京城全景,0.5,59,北京,https://imgs.qunarzz.com/sight/p0/1506/e8/e87354c876fd6c38.water.jpg_280x200_9ae39e97.jpg
中国航空博物馆,4A景区,[北京·北京·昌平区],0.7,收藏有上百架的飞机,1.7,62,北京,https://imgs.qunarzz.com/sight/p0/1501/28/2874bfd7fa4c5291.water.jpg_280x200_d02e60e9.jpg
青龙湖公园,3A景区,[北京·北京·丰台区],0.7,山清水秀的城市公园,49.9,160,北京,https://imgs.qunarzz.com/sight/p0/1903/46/46438f6e070f174a3.img.jpg_280x200_41cc6527.jpg
京东大峡谷,4A景区,[北京·北京·平谷区],0.7,适合放松锻炼的京郊峡谷,68.9,12,北京,https://imgs.qunarzz.com/sight/p0/1704/28/285088cfd777cb38a3.img.jpg_280x200_b14d2c21.jpg
北京世界葡萄博览园,4A景区,[北京·北京·延庆县],0.0,葡萄主题公园,99,12,北京,https://imgs.qunarzz.com/sight/p0/1712/59/59e3b5cf165f10eea3.img.jpg_280x200_510e63ac.jpg
朝阳公园,4A景区,[北京·北京·朝阳区],0.72,踏青野餐亲子游玩的好去处,98,32,北京,https://imgs.qunarzz.com/sight/p0/1501/49/0c8d586b0ea66bcff1d679a7efd1c7ed.water.jpg_280x200_1565d2a6.jpg
定陵,无,[北京·北京·明十三陵],0.72,明代万历皇帝的大型陵墓,30,2036,北京,https://imgs.qunarzz.com/sight/p0/201405/30/63494597d8a8346abd77cc9e1cd2ee79.jpg_280x200_2e7efe81.jpg
玉渡山冰瀑,无,[北京·北京·玉渡山],0.0,感受冰雪独特的魅力,100,85,北京,https://imgs.qunarzz.com/sight/p0/1801/16/160311b1ca10e889a3.img.jpg_280x200_be3580a5.jpg
张裕爱斐堡,4A景区,[北京·北京·密云县],0.0,体验制作红酒的乐趣,78,56,北京,https://imgs.qunarzz.com/sight/p0/1505/9d/9d57a1306cb903cd.water.jpg_280x200_7011cd90.jpg
北京明城墙遗址公园,4A景区,[北京·北京·东城区],0.0,登明代古城墙,0.4,8,北京,https://imgs.qunarzz.com/sight/p0/1412/16/7270d3eac7b7d74ede98d6e9b68846a6.water.jpg_280x200_3380ebd4.jpg
云瀑沟,无,[北京·北京·龙庆峡],0.0,随季节变化景色四季各异,30,93,北京,https://imgs.qunarzz.com/sight/p0/1505/96/96261990dadf918f.water.jpg_280x200_02ee0f87.jpg
龙庆峡冰灯,无,[北京·北京·龙庆峡],0.0,晶莹剔透的冰雪乐园配合声光电，京郊一绝,120,1810,北京,https://imgs.qunarzz.com/sight/p0/2301/cb/cb7a7f19c8a74a71a3.water.jpg_280x200_e3b01e8c.jpg
桃源仙谷,3A景区,[北京·北京·密云县],0.7,森林茂密、景色秀美,6,34,北京,https://imgs.qunarzz.com/sight/p0/1507/14/77271e0d50733ea9d4b3b1534f813d4c.water.jpg_280x200_77a77c6e.jpg
第五季龙水凤港生态农场,无,[北京·北京·通州区],0.0,宜野炊，露营的家庭出游地,48,80,北京,https://imgs.qunarzz.com/sight/p0/201407/04/105a42b477b347624f3a90a8f8804de7.jpg_280x200_bc12e35a.jpg
龙脉温泉,4A景区,[北京·北京·昌平区],0.0,集娱乐、会议和住宿于一体,258,118,北京,https://imgs.qunarzz.com/sight/p0/1711/53/53f7752ece875d00a3.img.jpg_280x200_bda041f1.jpg
北京大观园,3A景区,[北京·北京·西城区],0.76,87版《红楼梦》取景地,40,42,北京,https://imgs.qunarzz.com/sight/p0/1505/8d/8d1f6d86b2c5926e.water.jpg_280x200_77318cd6.jpg
和园景逸温泉,无,[北京·北京·顺义区],0.0,花木葱郁、景色怡人,148,78,北京,https://imgs.qunarzz.com/sight/p0/201403/10/b9bf4ea9c43eada0e8eb33294cc9764f.jpg_280x200_4520f0a9.jpg
怀北国际滑雪场,无,[北京·北京·怀柔区],0.0,可领略长城之美的滑雪场,68,832,北京,https://imgs.qunarzz.com/sight/p0/1711/c2/c2f78ad1e34fe4dea3.img.jpg_280x200_a7301aa6.jpg
八达岭古长城（残长城）,3A景区,[北京·北京·延庆县],0.0,八达岭古长城杏花节'杏好有你'开幕啦,54,16,北京,https://imgs.qunarzz.com/sight/p0/1603/60/6020660bc5fc5c7d90.water.jpg_280x200_99b24de4.jpg
古崖居,3A景区,[北京·北京·延庆县],0.7,赏秋好去处,54,10,北京,https://imgs.qunarzz.com/sight/p0/1610/9c/9c09d909e60216cda3.water.jpg_280x200_ea80c006.jpg
北京自然博物馆,无,[北京·北京·东城区],0.7,观赏已经灭绝动植物的化石,0.1,1062,北京,https://imgs.qunarzz.com/sight/p25/201211/00/8a09e85dceb22cea93835fbb.jpg_280x200_c20a8e1e.jpg
首都博物馆,4A景区,[北京·北京·西城区],0.72,领略首都三千年的建城史,240,50,北京,https://imgs.qunarzz.com/sight/p0/1705/3d/3d7d3740d157a9e9a3.img.jpg_280x200_46a68785.jpg
长城铁花,无,[北京·北京],0.0,似水涌动，钢花飞溅,160,37,北京,https://imgs.qunarzz.com/sight/p0/2301/76/76897a12a3c522fea3.water.jpg_280x200_dcf20b17.jpg
珍宝馆,无,[北京·北京·故宫博物院],0.0,乾隆慈禧曾居住在这,80,1030,北京,https://imgs.qunarzz.com/sight/p0/201403/17/d5ea86f63081114ffaa788142c49c1d8.jpg_280x200_23149e08.jpg
静之湖汤泉,无,[北京·北京·昌平区],0.0,景色怡然、小桥流水,168,48,北京,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01035120008s7eyvkEE0C.jpg_280x200_eb394146.jpg
中国科学技术馆,无,[北京·北京·朝阳区],0.0,小朋友的科学乐园,118,1228,北京,https://imgs.qunarzz.com/sight/p0/1602/e6/e655d7ee86c7fd1390.water.jpg_280x200_9999f6ba.jpg
红栌温泉,无,[北京·北京·昌平区],0.0,内有真人CS和拓展活动,78,2,北京,https://imgs.qunarzz.com/sight/p0/201403/07/454d7465c4dd69741084aebc3bef7f75.jpg_280x200_3ffe90eb.jpg
京津冀旅游年卡,无,[北京·北京],0.0,北京风景年卡，就是这么任性,99,6,北京,https://imgs.qunarzz.com/sight/p0/2002/de/de39c137228f7177a3.img.png_280x200_7ea3b739.png
天开寺,无,[北京·北京·房山区],0.0,北京龙门生态园位于京西南40公里的房山区韩村河镇以西，岳各庄村西上方山森林公园的入口处，景区依山傍水，集水光山色佛塔庙宇,47.6,86,北京,https://imgs.qunarzz.com/sight/p0/1504/51/5144f3a6e7d8161.water.jpg_280x200_957a226c.jpg
运河苑水世界,无,[北京·北京·通州区],0.0,建有风格迥异的欧式别墅,7,70,北京,https://imgs.qunarzz.com/sight/p0/1811/95/95d09cb382a6eb7a3.img.jpg_280x200_f8822566.jpg
古北口长城,无,[北京·北京·古北口文化文物旅游区],0.7,如巨龙盘于高山，古迹较多,88,92,北京,https://imgs.qunarzz.com/sight/p0/201307/18/73703f0304835b9ac8d65eac.jpg_280x200_26023a4c.jpg
古人类文化遗址博物馆,无,[北京·北京·东城区],0.0,位于地下十几米深处,120,32,北京,https://imgs.qunarzz.com/sight/p0/1412/34/04e766b6a33965f94e462b7362c062eb.water.jpg_280x200_114cb6ba.jpg
大城小像北京,无,[北京·北京·前门大街],0.0,一日穿越千年，亲历北京的前世与今生,120,6,北京,https://imgs.qunarzz.com/sight/p0/2002/fd/fd149430188dce1aa3.img.jpg_280x200_ed9feb32.jpg
金水湖景区,无,[北京·北京·房山区],0.7,赏湖光山色，体会采摘野趣,45,16,北京,https://imgs.qunarzz.com/sight/p0/1804/c2/c2af6edfa2a4dbbea3.img.jpg_280x200_7acaa38c.jpg
凉水河畔壹号会馆,无,[北京·北京·通州区],0.0,京城休闲娱乐好去处,48,67,北京,https://imgs.qunarzz.com/sight/p0/2011/56/5663162be4673e30a3.img.jpg_280x200_0ab35fcf.jpg
军都山滑雪场,无,[北京·北京·昌平区],0.7,距离北京市很近的滑雪场,160,642,北京,https://imgs.qunarzz.com/sight/p0/1711/66/661d6a43e3e4dceda3.water.jpg_280x200_6da1f749.jpg
北京民生现代美术馆,无,[北京·北京·朝阳区],0.0,空间多元，替代“白立方”单一空间模式,80,60,北京,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106k120008ick2bs0DD8.jpg_280x200_fc2e5a86.jpg
陶然亭冰雪嘉年华,无,[北京·北京·西城区],0.0,冬天去哪?来这儿!雪地里，撒点野,38,276,北京,https://imgs.qunarzz.com/sight/p0/1712/c1/c19372eac5eda5dfa3.img.jpg_280x200_1fae8bcd.jpg
保和殿,无,[北京·北京·东城区],0.0,屋顶上覆黄色琉璃瓦,87,33,北京,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0104u1200087dgmmwA93C.jpg_280x200_8bed5585.jpg
北京西山滑雪场,无,[北京·北京·海淀区],0.0,北京西山滑雪场地处海淀区温泉镇温泉冰雪体育公园内，整个滑雪场可是占地约13万平方米，雪道总长度达到2089米，雪道落差更,120,344,北京,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
中和殿,无,[北京·北京·东城区],0.0,紫禁城外朝三大殿之一,87,51,北京,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
密云玫瑰情园,无,[北京·北京·密云县],0.0,堪称“花卉博览园”,9.9,46,北京,https://imgs.qunarzz.com/sight/p0/201406/24/c6fb2588e2df6ccd12f9fef72540ee49.jpg_280x200_1e2272d5.jpg
城市绿心森林公园,无,[北京·北京·通州区],0.0,2020年8月18日，北京城市副中心召开城市绿心新闻发布会，北京市园林绿化局副局长高大伟介绍，城市绿心项目命名为“城市绿,15.9,2,北京,https://imgs.qunarzz.com/sight/p0/2206/40/40dd511eb3163ce2a3.img.jpg_280x200_d23be8ef.jpg
尚沐汗蒸时代,无,[北京·北京·朝阳区],0.0,丰富的成年和儿童娱乐项目,99,61,北京,https://imgs.qunarzz.com/sight/p0/1705/60/60198571470b866fa3.img.jpg_280x200_3eac9176.jpg
大钟寺,无,[北京·北京·海淀区],0.0,参观以大钟为主题博物馆,5,89,北京,https://imgs.qunarzz.com/sight/p0/1602/a1/a173d3687d2283ae90.water.jpg_280x200_50767018.jpg
八达岭野生动物园,无,[北京·北京·延庆县],0.7,近距离观赏野生动物,85,818,北京,https://imgs.qunarzz.com/sight/p0/201311/12/3e2de7e7f2fa170fc8d65eac.jpg_280x200_a2f25fd2.jpg
万科石京龙滑雪场,无,[北京·北京·延庆县],0.7,设有诸多热门的游乐项目,80,376,北京,https://imgs.qunarzz.com/sight/p0/1603/b2/b29346404fa3cebb90.water.jpg_280x200_307f876f.jpg
北京活的3D博物馆,无,[北京·北京·朝阳区],0.0,欣赏3D艺术的奇特魅力,57,14,北京,https://imgs.qunarzz.com/sight/p0/1812/c1/c156e13ddd316b2ba3.img.jpg_280x200_66223e1d.jpg
白云观,无,[北京·北京·西城区],0.74,参观道教全真派的祖庭,1.1,32,北京,https://imgs.qunarzz.com/sight/p0/1603/f0/f029fb5b1bd3bcab90.water.jpg_280x200_b414ef20.jpg
太平洋海底世界,无,[北京·北京·海淀区],0.7,近距离观赏各种海洋生物,89.9,566,北京,https://imgs.qunarzz.com/sight/p0/1602/67/67feeab24cfc82bb90.water.jpg_280x200_4e91a759.jpg
南宫天空城堡,无,[北京·北京·南宫旅游景区],0.0,体验天空之旅，畅享无限欢乐,49,69,北京,https://imgs.qunarzz.com/sight/p0/1502/2f/2fa63d138069a6b3.water.jpg_280x200_33580346.jpg
